Name,Primary_URL,Repository_URL,First_Appeared_Year,Open_Source_Model,License,Short_Description,Community_Size_Category,Community_Proxy_Evidence,GitHub_Stars_2026_09_17,GitHub_Stars_Caveat,Estimated_External_Integrations,Integration_Notes,Time_Tracking,Agile_Views,Gantt_View,Calendar_View,Open_Calendar_Sync,Deployment,Calendar_Sync,Data_Out,Stack,Hosted_Option,Ease_of_Deployment_Score_1_5,Ease_of_Deployment_Review,Ease_of_Use_Score_1_5,Ease_of_Use_Review,Enterprise_Features_Score_1_5,Enterprise_Features_Review,Interface_Flexibility_Score_1_5,Interface_Flexibility_Review,Data_Sovereignty_Score_1_5,Data_Sovereignty_Review,Portability_Score_1_5,Portability_Review,Activity_or_Caveat,Research_Confidence,Source_URLs
Huly,https://huly.io/,github.com/hcengineering/platform,2023,FOSS,EPL-2.0,"All-in-one process, project, time and knowledge environment with a central team calendar. The hosted service closed in July 2026; self-hosting continues.",Very large,"27.7k stars and 2.2k forks, on a long commit history.",27695,"hcengineering/platform is the whole platform — tracker, documents, calendar and messaging. No repository counts Huly the task manager on its own.",3–10,GitHub synchronisation is the notable one. The surface is smaller than Plane’s or OpenProject’s.,PARTIAL,NATIVE,NO,NATIVE,NO,"Docker Compose across several services, with MongoDB or CockroachDB, object storage and a search index. The heaviest stack here.","A built-in team calendar, but no CalDAV or iCalendar interface to it.","Workspace backup and restore tooling, plus a plugin and API surface; not recorded as a set of named export formats.",TypeScript and Svelte over MongoDB or CockroachDB.,None recorded. The first-party hosted service closed in July 2026; self-hosting continues.,3.0,"The most components to stand up of anything here, and the most to keep running.",4.2,"One integrated workspace, wide enough that finding your way takes a while.",3.7,The collaboration and process breadth is real. Continuity and the support model are the question.,4.5,"Projects, messaging, calendar and documents in one interface.",5.0,"EPL source and self-hosting, untouched by the hosted service closing.",4.1,"Open source, but so broad that replacing it means replacing several tools at once.",The hosted service was announced for shutdown around 20 Jul 2026. Self-hosting was stated to be unaffected.,High,https://huly.io | https://github.com/hcengineering/platform
OpenProject,https://www.openproject.org/,github.com/opf/openproject,2012,FOSS,GPL-3.0,"Classic, agile and hybrid project portfolio management with work packages, boards, Gantt, and native time and cost tracking.",Very large,"A maintained Community Edition, documentation, forums and regular releases. Integration work continued in Sep 2026.",16127,,12–20,"GitHub, GitLab, Nextcloud, OneDrive, SharePoint and XWiki are named, with a REST API for the rest.",NATIVE,NATIVE,NATIVE,NATIVE,PARTIAL,"A packaged all-in-one container, distribution packages, or an official Helm chart over PostgreSQL.","iCalendar subscription URLs per work-package view, one way out. No CalDAV.","CSV, XLSX and PDF exports; REST APIv3 with OAuth2.",Ruby on Rails and Angular over PostgreSQL.,First-party (OpenProject Enterprise cloud).,4.0,"Packages, containers and an official Helm chart, carrying a heavier stack than minimalist tools.",4.0,"Capable and clear, but the PM vocabulary and configuration depth take time to learn.",4.9,"Permissions, identity, audit, portfolio reporting, and cost and time management, all native.",4.6,"Tables, boards, Gantt, calendars, filters, custom workflows and per-project modules.",5.0,"The Community Edition can be self-hosted, with GPL-licensed source and control over the database.",4.6,A conventional stack with API and export routes out. Some advanced functions are edition-bound.,Check each feature against the Community Edition. Much of what is advertised is Enterprise.,High,https://www.openproject.org/docs/enterprise-guide/enterprise-on-premises-guide/enterprise-on-premises-faq/ | https://www.openproject.org/community-edition | https://www.openproject.org/docs | https://www.openproject.org/docs/api/endpoints/configuration | https://github.com/opf/openproject
Plane,https://plane.so/,github.com/makeplane/plane,2022,Open core,AGPL for Community Edition,"Product-development workspace built on work items, cycles, modules and initiatives, with the widest advertised integration surface here.",Very large,"High GitHub visibility, with docs and product pages updated in Sep 2026.",59519,,50+,"Slack, GitHub and Figma among the advertised connections, plus APIs, webhooks, OAuth apps and MCP.",PARTIAL,NATIVE,NATIVE,NATIVE,NO,"Docker Compose over PostgreSQL, Redis and MinIO object storage, or a Kubernetes chart. Several services, not one container.",None. Neither CalDAV nor an iCalendar feed.,"CSV and JSON exports of work items; REST API, webhooks, OAuth apps and MCP.",Next.js and TypeScript over Python (Django) and PostgreSQL.,"First-party (Plane Cloud), alongside the self-hosted Community Edition.",4.4,"Documented Docker and Kubernetes paths, with more moving parts than a single-container app.",4.7,Teams arriving from Linear or Jira need almost no reorientation.,4.5,"Governance and deployment options run deep, though several sit outside the AGPL Community tier.",4.8,"Board, spreadsheet, list and Gantt views, over configurable work items, cycles and initiatives.",4.7,"Open Community code, deployable on-prem and air-gapped. The tier boundary is the limit.",4.3,"APIs and webhooks are there, but open-core splits make a like-for-like exit harder.",Open core. Do not assume a feature on the marketing site is in the Community Edition.,High,https://plane.so/open-source | https://docs.plane.so | https://docs.plane.so/core-concepts/issues/time-tracking | https://plane.so
Redmine,https://www.redmine.org/,github.com/redmine/redmine,2006,FOSS,GPLv2,"Two decades of configurable issue workflows, custom fields, multiple databases and a vast plugin ecosystem. Dated interface, exceptional survivability.",Very large,"Nearly two decades of continuity, busy forums and plugins, and several supported-version releases in Aug 2026.",6032,"GitHub carries a read-only mirror. Development lives in the project’s own repository at redmine.org, so this figure sits far below two decades of installed base.",100+,"A large plugin ecosystem and a REST API. Agile boards usually arrive as a plugin, not from core.",NATIVE,PARTIAL,NATIVE,NATIVE,PARTIAL,"An official Docker image or distribution packages over PostgreSQL, MySQL or SQLite. Conventional and well documented.","iCalendar and Atom feeds over issue queries, one way out. No CalDAV.","CSV, PDF, XML and JSON exports; a full REST API in XML and JSON.","Ruby on Rails over PostgreSQL, MySQL or SQLite.","Third-party only (Planio, Easy Redmine and others); no first-party service.",3.7,"Well understood, but the Ruby stack, plugins and upgrades want an admin who knows them.",3.2,"It works, and it looks its age. The configuration depth overwhelms casual users.",4.2,"Workflows, roles, custom fields and multi-project operation, extended by twenty years of plugins.",4.7,"Almost any workflow or field can be configured, behind an old-fashioned interface.",5.0,"GPL, self-hosted, and it runs on the database you already have.",4.9,"A REST API, standard databases, and two decades of continuity to archive against.","The weakness is the interface, not the project’s health. Three supported versions shipped in Aug 2026.",High,https://www.redmine.org | https://www.redmine.org/projects/redmine/wiki/Features | https://github.com/redmine/redmine
AFFiNE,https://affine.pro/,github.com/toeverything/AFFiNE,2022,Source-available,"MPL-2.0 client, EE backend","Documents, an infinite whiteboard and databases in one workspace, with tasks as database views rather than a tracker of their own.",Large,"72.7k GitHub stars and frequent releases; a large audience for the editor, a much smaller one running the backend themselves.",72702,,few,"A GraphQL API with WebSocket sync, and built-in AI. Packaged connections to other task systems are thin.",NO,NATIVE,NO,NO,NO,"Documented Docker Compose with PostgreSQL and Redis, or the hosted service.",None. Neither CalDAV nor an iCalendar feed.,"Markdown, HTML, JSON and PDF or PNG exports; a GraphQL API with WebSocket sync.",Rust and TypeScript with React.,"First-party (AFFiNE Cloud), plus a paid self-hosted Team tier.",3.8,Documented Docker Compose with PostgreSQL and Redis. More moving parts than a notes app suggests.,4.5,"One of the most polished interfaces in this table, and the whiteboard has no real peer here.",2.6,"Multi-admin roles and team management sit in the paid self-hosted tier, not in the free build.",4.0,"Docs, edgeless whiteboard and database views over the same content, freely mixed.",2.8,The client is open; the self-hosted backend is under an Enterprise Edition licence. That is the ceiling.,3.4,"Markdown, HTML, JSON and PDF out over GraphQL. Fine for documents, thinner for structured work.","The client is open and the self-hosted backend is not: it ships under an AFFiNE Enterprise Edition licence, and administrative features sit behind the paid Team tier. Self-hosted and open source are two different claims here, and this is the clearest case in the table of why the distinction matters.",Medium,https://affine.pro/self-host | https://docs.affine.pro/self-host-affine/features/team-license | https://github.com/toeverything/AFFiNE/discussions/5947
AppFlowy,https://appflowy.io/,github.com/AppFlowy-IO/AppFlowy,2021,Open core,AGPL-3.0,"A Notion-shaped workspace of nested documents and inline databases, where board, table and calendar are three views of the same records.",Large,"76.8k GitHub stars and active releases through 2026, with a following much larger than the self-hosted share of it.",76783,,4–10,"A self-hosted cloud sync server, local and hosted language models, and a cloud API. Packaged connectors to other task systems are limited.",NO,NATIVE,NO,NATIVE,NO,Compose for the self-hosted AppFlowy Cloud sync server; the web client sits alongside desktop and mobile builds.,None. Neither CalDAV nor an iCalendar feed.,"JSON, Markdown and CSV exports; a cloud API with WebSocket sync.",Flutter and Rust over PostgreSQL.,"First-party (AppFlowy Cloud), with paid AI and vault add-ons.",3.6,"Compose for the self-hosted sync server, with several services behind it. Documented, but not a single container.",4.4,Polished and immediately familiar to anyone who has used Notion.,3.0,"Workspace roles and guest links. SSO, audit and the vault tier are paid.",4.2,"Table, board, calendar and nested documents over configurable database fields.",3.8,"The AGPL workspace self-hosts, though the AI and vault tiers are where the vendor keeps its margin.",3.6,"JSON, Markdown and CSV out, over a cloud API. Adequate rather than generous.","Open core, and the desktop and mobile clients lead the web one. Check that the capability you need is in the AGPL build rather than in an AI or vault tier before committing.",Medium,https://github.com/AppFlowy-IO/AppFlowy-Cloud | https://appflowy.com/pricing | https://appflowy.io/
Habitica,https://habitica.com/,github.com/HabitRPG/habitica,2013,FOSS,GPL-3.0,"Habits, dailies and to-dos wrapped in a role-playing game, where parties and guilds carry the accountability a manager otherwise would.",Large,"14.2k GitHub stars against a very large hosted player base, an active wiki and a long list of third-party apps.",14158,,8–20,"API v3 with user-configurable webhooks, a documented third-party application list, and connectors through Make and similar automation platforms.",NO,NO,NO,NO,NO,"Compose with Node.js, MongoDB and Redis.",None. Neither CalDAV nor an iCalendar feed.,JSON and CSV exports; a full REST API with user-configurable webhooks.,Node.js and Vue over MongoDB.,"First-party (habitica.com), where nearly all of its users are.",3.2,"Compose with Node.js, MongoDB and Redis. Possible to self-host, but the hosted service is the trodden path.",4.0,"Genuinely enjoyable for the people it suits, and completely alien to anyone wanting a project tool.",1.8,"Parties, guilds and challenge managers. A social structure, not an organisational one.",2.2,Four fixed list types and no views at all. The narrowest interface in this table.,4.0,GPLv3 and self-hostable in full; the subscriptions are cosmetic and live on the hosted service.,3.4,"JSON and CSV exports over a full REST API, which is more than the category usually offers.","A motivation system rather than a project tool. There is no board, timeline or calendar, and the self-hosted path is far less travelled than habitica.com — expect to be an early reader of your own logs.",Medium,https://github.com/HabitRPG/habitica | https://habitica.fandom.com/wiki/Application_Programming_Interface | https://habitica.com/
Leantime,https://leantime.io/,github.com/Leantime/leantime,2019,Open core,AGPLv3 core,"Project management aimed at non-project-managers: tasks, Kanban, timelines, retrospectives, strategy boards and native timesheets.",Large,"Large GitHub following, a running marketplace and community chat, and continuing development.",11594,,8–20,A marketplace and an API widen the coverage. The count moves as the marketplace does.,NATIVE,NATIVE,NATIVE,NATIVE,PARTIAL,"Docker Compose with PHP, a web server and MySQL. One database, no queue or object store.","iCalendar feed URLs for tasks and milestones, one way out. No CalDAV.","CSV and JSON exports, plus timesheet exports; REST API and webhooks.","PHP over MySQL, with a server-rendered interface.",First-party (Leantime hosted).,4.2,A standard web stack with container options. Plugin management adds ongoing upkeep.,4.5,"Built for teams with no project manager in them, and it shows.",3.7,"The organisational features are real, but governance and portfolio administration stop short of OpenProject.",4.5,"Task views, timelines, retrospectives and strategy boards, extensible past them.",5.0,"The AGPL core self-hosts, so deployment and data stay yours.",4.6,The core and its API leave cleanly. Anything running on a paid plugin needs replacing first.,The core is open. Advanced functionality may arrive as a paid plugin.,High,https://leantime.io | https://marketplace.leantime.io | https://github.com/Leantime/leantime
Logseq,https://logseq.com/,github.com/logseq/logseq,2020,FOSS,AGPL-3.0,"An outliner over plain Markdown and Org-mode files, where the task list is a query across notes you already wrote.",Large,"45.0k GitHub stars and 486 plugins in the marketplace as of August 2026, against a database rewrite that has been in beta a long time.",44950,,100+,"486 marketplace plugins as of August 2026, most of them editor extensions rather than connections to other systems, plus Git-based sync over the files themselves.",PARTIAL,PARTIAL,NO,PARTIAL,NO,"A self-hosted web app container, a desktop build, or the hosted browser demo reading a local folder.",None. Neither CalDAV nor an iCalendar feed.,"The files are the export: Markdown and Org-mode on disk, plus JSON; a plugin API.",ClojureScript and React over plain text files.,"None. The files stay yours, synced by whatever you already use.",4.0,"A container for the self-hosted web app, or no server at all if you run the desktop build.",3.4,"Outliner literacy is the entry fee. Once paid, querying tasks out of notes is unusually good.",1.5,"Effectively single-user. There are no roles, no shared instance and no administration.",4.0,"Queries, references and 486 plugins will bend it to most shapes, given patience.",5.0,"Plain files on your own disk. Nothing scores higher than that, and nothing can.",5.0,"The files are the export. Markdown and Org-mode, readable without Logseq ever running again.","The browser build depends on the File System Access API, so a local graph opens in Chromium only — Firefox and Safari cannot. The database rewrite has been in beta for a long time and plugin compatibility with it is still unsettled.",Medium-high,https://github.com/logseq/logseq | https://logseq.github.io/marketplace/ | https://github.com/logseq/logseq/blob/master/docs/docker-web-app-guide.md
Nextcloud Deck,https://nextcloud.com/,github.com/nextcloud/deck,2018,FOSS,AGPL,"Kanban inside Nextcloud, worth testing before deploying a second platform if Nextcloud is already in place.",Large,"Carried by the far larger Nextcloud ecosystem, app store and install base. Deck is established within it.",1421,"The Deck app repository alone. Nextcloud, the platform Deck runs inside and inherits its install base from, holds about 36.8k of its own.",5–10,"The value is in Nextcloud itself, Files and Calendar and sharing, rather than standalone connectors.",PARTIAL,NATIVE,NATIVE,PARTIAL,NATIVE,"The Nextcloud all-in-one container or distribution packages over PostgreSQL or MariaDB, then Deck and Tasks as apps.","Native CalDAV through Nextcloud Tasks, read and write. The strongest phone and desktop story in the table.","iCalendar and CalDAV, JSON, and CSV through companion apps; OCS and REST APIs with webhooks.",PHP and Vue over PostgreSQL or MariaDB.,Third-party providers under the Nextcloud provider programme.,3.8,Trivial if Nextcloud is already running. Disproportionate if it is not.,4.1,"A board and little else, in a place Nextcloud users already work.",4.1,"Identity, sharing and administration are inherited from Nextcloud itself.",4.0,"Kanban, Gantt, and the surrounding Nextcloud apps. As standalone PM, shallow.",5.0,"AGPL, self-hosted, sitting alongside the rest of your files.",4.5,"A standards-friendly platform, though Deck data leaves only with Nextcloud.",Comparisons saying Deck has no Gantt predate the Jun 2026 announcement.,High,https://nextcloud.com/blog/nextcloud-deck-kanban-board-gantt-chart-app-for-teams | https://apps.nextcloud.com/apps/deck | https://github.com/nextcloud/deck
